run,fold,seed,model,f1_score,accuracy,recall,precision,tn,fp,fn,tp
1,1,42,code2vec,0.9506388844706006,0.95149778588174,0.9340974212034384,0.9677767582447239,18598,597,1265,17930
1,2,42,code2vec,0.9507241771917282,0.9515238343318573,0.9352956499088304,0.9666702562998062,18576,619,1242,17953
1,3,42,code2vec,0.9497097107711885,0.9505860901276374,0.9331596769992185,0.9668573896145957,18581,614,1283,17912
1,4,42,code2vec,0.9515607610366209,0.9523834331857255,0.9353998437092993,0.9682899207248018,18607,588,1240,17955
1,5,42,code2vec,0.9527484143763213,0.9534253711904142,0.9390987236259443,0.9668007508715474,18576,619,1169,18026
1,6,42,code2vec,0.95002251238181,0.9508452942249082,0.9344065853912681,0.9661692614340355,18567,628,1259,17935
1,7,42,code2vec,0.9483612855363908,0.9492302482481961,0.9324268000416797,0.9648498571351556,18543,652,1297,17897
1,8,42,code2vec,0.9504278939141032,0.9512620802834145,0.9344586850057309,0.9669523963555987,18582,613,1258,17936
1,9,42,code2vec,0.9506519665005829,0.9514965224413243,0.9344065853912681,0.9674722192253749,18592,603,1259,17935
1,10,42,code2vec,0.951972464919248,0.9527468806168433,0.9365980724146913,0.9678600269179004,18597,597,1217,17978
